participant,level,obj,x,y,success
60fe7c857e049641f422a6f4,Basic_1,174.0,186.0,obj1,0
60fe7c857e049641f422a6f4,Basic_1,203.0,288.0,obj1,0
60fe7c857e049641f422a6f4,Basic_1,186.0,295.0,obj1,1
60fe7c857e049641f422a6f4,Basic_2,565.0,465.0,obj2,0
60fe7c857e049641f422a6f4,Basic_2,567.0,439.0,obj1,0
60fe7c857e049641f422a6f4,Basic_2,402.0,236.0,obj2,0
60fe7c857e049641f422a6f4,Basic_2,403.0,233.0,obj3,1
60fe7c857e049641f422a6f4,Comp_GapCatapult,159.0,411.0,obj2,0
60fe7c857e049641f422a6f4,Comp_GapCatapult,487.0,552.0,obj2,0
60fe7c857e049641f422a6f4,Comp_GapCatapult,157.0,415.0,obj2,0
60fe7c857e049641f422a6f4,Comp_SoCloseLaunch,208.0,250.0,obj2,0
60fe7c857e049641f422a6f4,Comp_SoCloseLaunch,273.0,331.0,obj3,0
60fe7c857e049641f422a6f4,Comp_SoCloseLaunch,232.0,274.0,obj1,0
60fe7c857e049641f422a6f4,Comp_UnboxSlope,403.0,327.0,obj1,0
60fe7c857e049641f422a6f4,Comp_UnboxSlope,320.0,569.0,obj2,1
60fe7c857e049641f422a6f4,Mech_Catapult_0,410.0,558.0,obj2,1
60fe7c857e049641f422a6f4,Mech_Catapult_1,380.0,551.0,obj1,1
60fe7c857e049641f422a6f4,Mech_Catapult_2,356.0,291.0,obj2,0
60fe7c857e049641f422a6f4,Mech_Catapult_2,353.0,419.0,obj2,0
60fe7c857e049641f422a6f4,Mech_Catapult_2,340.0,295.0,obj2,0
60fe7c857e049641f422a6f4,Mech_Catapult_3,244.0,559.0,obj2,0
60fe7c857e049641f422a6f4,Mech_Catapult_3,272.0,562.0,obj2,1
60fe7c857e049641f422a6f4,Mech_Catapult_4,463.0,273.0,obj1,0
60fe7c857e049641f422a6f4,Mech_Catapult_4,502.0,560.0,obj2,0
60fe7c857e049641f422a6f4,Mech_Catapult_4,231.0,478.0,obj3,0
60fe7c857e049641f422a6f4,Mech_Gap_0,348.0,152.0,obj1,1
60fe7c857e049641f422a6f4,Mech_Gap_1,320.0,336.0,obj1,0
60fe7c857e049641f422a6f4,Mech_Gap_1,327.0,320.0,obj3,0
60fe7c857e049641f422a6f4,Mech_Gap_1,324.0,316.0,obj3,0
60fe7c857e049641f422a6f4,Mech_Gap_2,286.0,121.0,obj3,1
60fe7c857e049641f422a6f4,Mech_Gap_3,265.0,39.0,obj1,1
60fe7c857e049641f422a6f4,Mech_Gap_4,323.0,199.0,obj1,1
60fe7c857e049641f422a6f4,Playground,503.0,458.0,obj3,0
60fe7c857e049641f422a6f4,Playground,536.0,327.0,obj3,0
60fe7c857e049641f422a6f4,Playground,577.0,373.0,obj2,0
60fe7c857e049641f422a6f4,Playground,551.0,404.0,obj2,0
60fe7c857e049641f422a6f4,Playground,344.0,66.0,obj2,0
60fe7c857e049641f422a6f4,Playground,542.0,121.0,obj3,0
60fe7c857e049641f422a6f4,Playground,447.0,105.0,obj3,0
60fe7c857e049641f422a6f4,Playground,530.0,152.0,obj1,0
60fe7c857e049641f422a6f4,Playground,362.0,286.0,obj1,0
60fe7c857e049641f422a6f4,Playground,366.0,126.0,obj1,0
60fe7c857e049641f422a6f4,Playground,368.0,379.0,obj1,0
615e80a2300de12db1a74cf4,Basic_1,141.0,172.0,obj3,0
615e80a2300de12db1a74cf4,Basic_1,548.0,6.60001,obj3,0
615e80a2300de12db1a74cf4,Basic_1,383.0,171.6,obj3,0
615e80a2300de12db1a74cf4,Basic_1,155.0,171.6,obj3,0
615e80a2300de12db1a74cf4,Basic_1,171.0,180.6,obj1,0
615e80a2300de12db1a74cf4,Basic_1,177.0,188.6,obj2,1
615e80a2300de12db1a74cf4,Basic_2,401.0,236.6,obj2,0
615e80a2300de12db1a74cf4,Basic_2,402.0,232.6,obj3,1
615e80a2300de12db1a74cf4,Comp_GapCatapult,285.0,43.0,obj3,0
615e80a2300de12db1a74cf4,Comp_GapCatapult,146.0,440.0,obj3,0
615e80a2300de12db1a74cf4,Comp_GapCatapult,490.0,521.0,obj2,0
615e80a2300de12db1a74cf4,Comp_SoCloseLaunch,259.0,263.0,obj1,0
615e80a2300de12db1a74cf4,Comp_SoCloseLaunch,262.0,274.0,obj2,0
615e80a2300de12db1a74cf4,Comp_SoCloseLaunch,259.0,264.0,obj3,1
615e80a2300de12db1a74cf4,Comp_UnboxSlope,475.0,328.0,obj1,0
615e80a2300de12db1a74cf4,Comp_UnboxSlope,462.0,326.0,obj1,0
615e80a2300de12db1a74cf4,Comp_UnboxSlope,304.0,412.0,obj2,0
615e80a2300de12db1a74cf4,Mech_Catapult_0,463.0,64.0,obj2,0
615e80a2300de12db1a74cf4,Mech_Catapult_0,455.0,110.0,obj3,0
615e80a2300de12db1a74cf4,Mech_Catapult_0,460.0,136.0,obj2,0
615e80a2300de12db1a74cf4,Mech_Catapult_1,465.0,147.0,obj1,0
615e80a2300de12db1a74cf4,Mech_Catapult_1,414.0,207.0,obj3,0
615e80a2300de12db1a74cf4,Mech_Catapult_1,412.0,231.6,obj1,0
615e80a2300de12db1a74cf4,Mech_Catapult_2,311.0,121.6,obj1,0
615e80a2300de12db1a74cf4,Mech_Catapult_2,54.0,135.6,obj3,0
615e80a2300de12db1a74cf4,Mech_Catapult_2,342.0,72.6,obj3,0
615e80a2300de12db1a74cf4,Mech_Catapult_3,214.0,207.6,obj2,0
615e80a2300de12db1a74cf4,Mech_Catapult_3,227.0,278.6,obj3,0
615e80a2300de12db1a74cf4,Mech_Catapult_3,265.0,287.6,obj1,0
615e80a2300de12db1a74cf4,Mech_Catapult_4,203.0,119.0,obj1,0
615e80a2300de12db1a74cf4,Mech_Catapult_4,199.0,162.0,obj3,0
615e80a2300de12db1a74cf4,Mech_Catapult_4,225.0,86.6,obj2,0
615e80a2300de12db1a74cf4,Mech_Gap_0,349.0,147.0,obj1,1
615e80a2300de12db1a74cf4,Mech_Gap_1,317.0,432.0,obj1,0
615e80a2300de12db1a74cf4,Mech_Gap_1,332.0,444.0,obj3,1
615e80a2300de12db1a74cf4,Mech_Gap_2,299.0,200.0,obj2,0
615e80a2300de12db1a74cf4,Mech_Gap_2,242.0,121.0,obj3,1
615e80a2300de12db1a74cf4,Mech_Gap_3,263.0,64.0,obj1,0
615e80a2300de12db1a74cf4,Mech_Gap_3,259.0,140.0,obj1,0
615e80a2300de12db1a74cf4,Mech_Gap_3,257.0,53.0,obj2,0
615e80a2300de12db1a74cf4,Mech_Gap_4,328.0,228.0,obj1,1
615e80a2300de12db1a74cf4,Playground,460.0,83.0,obj3,0
615e80a2300de12db1a74cf4,Playground,410.0,419.6,obj1,0
615e80a2300de12db1a74cf4,Playground,519.0,64.0,obj2,0
615e80a2300de12db1a74cf4,Playground,370.0,66.0,obj2,0
615e80a2300de12db1a74cf4,Playground,443.0,442.0,obj3,0
615e80a2300de12db1a74cf4,Playground,518.0,538.0,obj1,0
615e80a2300de12db1a74cf4,Playground,399.0,152.0,obj1,0
615e80a2300de12db1a74cf4,Playground,449.0,82.0,obj3,0
615e80a2300de12db1a74cf4,Playground,397.0,80.0,obj3,0
664f7b48d963b2432cf7139e,Basic_1,190.0,218.0,obj2,1
664f7b48d963b2432cf7139e,Basic_2,402.0,233.0,obj3,1
664f7b48d963b2432cf7139e,Comp_GapCatapult,151.0,423.0,obj2,1
664f7b48d963b2432cf7139e,Comp_SoCloseLaunch,217.0,257.0,obj3,0
664f7b48d963b2432cf7139e,Comp_SoCloseLaunch,216.0,248.0,obj2,0
664f7b48d963b2432cf7139e,Comp_SoCloseLaunch,229.0,270.0,obj1,0
664f7b48d963b2432cf7139e,Comp_UnboxSlope,316.0,531.0,obj2,1
664f7b48d963b2432cf7139e,Mech_Catapult_0,399.0,556.0,obj2,1
664f7b48d963b2432cf7139e,Mech_Catapult_1,404.0,554.0,obj1,1
664f7b48d963b2432cf7139e,Mech_Catapult_2,320.0,561.0,obj2,1
664f7b48d963b2432cf7139e,Mech_Catapult_3,265.0,561.0,obj2,1
664f7b48d963b2432cf7139e,Mech_Catapult_4,268.0,562.0,obj2,0
664f7b48d963b2432cf7139e,Mech_Catapult_4,236.0,563.0,obj2,0
664f7b48d963b2432cf7139e,Mech_Catapult_4,280.0,563.0,obj2,1
664f7b48d963b2432cf7139e,Mech_Gap_0,345.0,184.0,obj2,0
664f7b48d963b2432cf7139e,Mech_Gap_0,352.0,146.0,obj2,1
664f7b48d963b2432cf7139e,Mech_Gap_1,323.0,321.0,obj3,0
